2015-06-17T05:27:48.360Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:57:48 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39124992, heapTotal=31526856, heapUsed=16404872, loadavg=[0, 0, 0], uptime=674019.1294181, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:27:53.360Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:57:53 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39178240, heapTotal=32530376, heapUsed=16525792, loadavg=[0, 0, 0], uptime=674024.131018, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:27:58.361Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:57:58 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39190528, heapTotal=32530376, heapUsed=16640060, loadavg=[0, 0, 0], uptime=674029.1306252, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:28:03.349Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:58:03 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39219200, heapTotal=32530376, heapUsed=16755728, loadavg=[0, 0, 0], uptime=674034.1252151, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:28:08.364Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:58:08 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39387136, heapTotal=32530376, heapUsed=16883272, loadavg=[0, 0, 0], uptime=674039.1338171, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:28:13.363Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:58:13 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39399424, heapTotal=32530376, heapUsed=16997452, loadavg=[0, 0, 0], uptime=674044.1334214, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:28:18.362Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:58:18 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39481344, heapTotal=32530376, heapUsed=17124084, loadavg=[0, 0, 0], uptime=674049.1340174, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:28:23.365Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:58:23 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39489536, heapTotal=32530376, heapUsed=17239988, loadavg=[0, 0, 0], uptime=674054.135618, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:28:28.364Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:58:28 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39440384, heapTotal=32530376, heapUsed=17383328, loadavg=[0, 0, 0], uptime=674059.1372248, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
2015-06-17T05:28:33.375Z - error: uncaughtException: document is not defined date=Wed Jun 17 2015 10:58:33 GMT+0530 (India Standard Time), pid=7372, uid=null, gid=null, cwd=C:\node-sample\ras_pi_node_server, execPath=C:\Program Files\nodejs\node.exe, version=v0.10.21, argv=[node, C:\node-sample\ras_pi_node_server\app.js], rss=39399424, heapTotal=32530376, heapUsed=17506952, loadavg=[0, 0, 0], uptime=674064.1328163, trace=[column=5, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=setCookie, line=395, method=null, native=false, column=19, file=C:\node-sample\ras_pi_node_server\routes\index.js, function=null, line=364, method=null, native=false, column=18, file=C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js, function=null, line=98, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=415, method=_tickCallback, native=false], stack=[ReferenceError: document is not defined,     at setCookie (C:\node-sample\ras_pi_node_server\routes\index.js:395:5),     at C:\node-sample\ras_pi_node_server\routes\index.js:364:19,     at C:\node-sample\ras_pi_node_server\node_modules\jsonwebtoken\index.js:98:18,     at process._tickCallback (node.js:415:13)]
